218 | 76450132 | Sixteen Moons Eine Unsterbliche Liebe | Kami Garcia | cbj | / | Buch | False
219 | 76450702 | Im Schatten des Fuchsmondes | Antje Babendererde | Arena | / | Buch | False
220 | 76450703 | das Geheimnis der Delfininsel | ??? | loewe | / | Buch | False
221 | 76450704 | Geheimnisvolle Mächte | Estele Laure | carlsen | / | Buch | False
222 | 76450705 | Der Fremde | K.A. Applegate | Ravensburger | / | Buch | False
223 | 76450706 | Aurora Entflammt | Amie Kaufmann | Sauerländer | / | Buch | False
224 | 76450707 | Märchen im Schatten des Erzählers | Antonia Michaelis | Oetinger | / | Buch | False
225 | 76450708 | Lore die Spiele Haben Begonen | Alexander Bracken | Arena | / | Buch | False
226 | 76450529 | Magnetic Valley die Flucht der Fünf | Skye Melki-Wegner | dtv | / | Buch | False
227 | 76450074 | Warp der Quantenzauberer | Eoin Colfer | Loewe | / | Buch | False
228 | 76450709 | Odinskind | Siri Pettersen | Arctis | / | Buch | False
229 | 76450710 | Drachen Feind Die Feuerreiter Seiner majestät | Naomi Novik | blanvalet | / | Buch | False
230 | 76450711 | Growing up for Girls | Katie Love | Usborne | / | Buch | False
231 | 76450712 | Julie von den Wölfen | Jean Craighead George | dtv junior | / | Buch | False
232 | 76450238 | Im Herzen die Rache | Elizabeth Miles | loewe | / | Buch | False
233 | 76450216 | Sag das du mir Gehörst! | Sahra Darer Littman | Baumhaus | / | Buch | False
234 | 76450335 | Zerbrechliches Herz | Rebbeca Serle | Baumhaus | / | Buch | False
235 | 76450713 | Eine Bank am Seerosenteich | Annika Thor | carlsen | / | Buch | False
236 | 76450277 | Elfen Kuss | Aprilynne Pike | cbj | / | Buch | False
237 | 76450714 | Gläsernes Glück | Nancy Thayer | WKV | / | Buch | False
238 | 76450715 | Insurgent | Veronica Roth | KT | / | Buch | False
239 | 76450716 | Der Kuss der Bienen | Thomas Sanchez | List | / | Buch | False
240 | 76450026 | Ismael Bereit sein ist allse | Michael Gerard Bauer | Hanser | / | Buch | False
241 | 76450717 | Linus,Leonie und die Wildpferde | Sahra Bosse | Bücherbär | / | Buch | False
242 | 76450718 | Gallows Hill | Lois Duncan | Funtasie Club | / | Buch | False
243 | 76450719 | Wie eine Hecke voll Himbeeren | Gunnel Linde | Junge Bibliothek | / | Buch | False
244 | 76450002 | mind the Gap! Wie ich London Packte | Emmy Abrahamson | dtv | / | Buch | False
245 | 76450720 | Madita | Astrid Lindgren | oetinger | / | Buch | False
246 | 76450133 | Küss mich Ochsenfrosch! | Dagmar Geisler | Loewe | / | Buch | False
247 | 76450390 | Herz schlag zeilen | Jutta Wilke | Coppenrath | / | Buch | False
248 | 76450721 | Hanni & Nanni | Euid Bluton | Schneider Buch | / | Buch | False
249 | 76450722 | Magic Girls Die große Prüfung | Marliese Arold | ars dition | / | Buch | False
250 | 76450723 | Magic Der verhängnisvolle Fluch | Marliese Arold | ars dition | / | Buch | False
251 | 76450724 | Evolution die Statdt der Überlebenden | Thomas Thiemeyer | Arena | / | Buch | False
252 | 76450725 | Ein Fall für Nancy Drew Die Insel der Bestien | Carolyn Keene | Schneider Buch | / | Buch | False
253 | 76450726 | Voneinem Tag auf den anderen | Robert Mawson | Goldmannn | / | Buch | False
254 | 76450727 | Bevor ich sterbe | Jenny Downham | cbt | / | Buch | False
255 | 76450056 | House of night Betrogen | P.C. Cast | Bastei Lübbe | / | Buch | False
256 | 76450728 | Wie Spucke im Sand | Klaus Kordon | Gulliver | / | Buch | False
257 | 76450729 | Die Frau am Meer | Ursula Isabel | Schneider Buch | / | Buch | False
258 | 76450730 | Schön, schlank und reich | Beth Harbison | Fischer | / | Buch | False
259 | 76450731 | Alycde und keine andere | Karen Cushman | dtv junior extra | / | Buch | False
260 | 76450732 | Geil, das peinliche Foto stellen wir online! | Florian Buschendorff | vadr | / | Buch | False
261 | 76450524 | Perfect Escape | Jennifer Brown | dtv pocket | / | Buch | False
262 | 76450733 | verliebt, verlobt und ungeküsst | C. B. Lessmann | Loewe | / | Buch | False
263 | 76450044 | My year with Girls | Stephan Borchers | Herzklopfen und so | / | Buch | False
264 | 76450734 | Game of Hearts | Ceneva Lee | blanvalet | / | Buch | False
265 | 76450735 | Lissy und die große Prüfung | Jenny Winter | Loewe | / | Buch | False
266 | 76450121 | Love to go | Anya Fröhlich | Oetinger | / | Buch | False
267 | 76450159 | Herz Bube | Birgit Hasselbusch | Oetinger | / | Buch | False
268 | 76450736 | 101 Gründe, warum ich dich mag | Dorothée Bleker | GFV | / | Buch | False
269 | 76450737 | Zurück nach Pine Hollow | Bonnie Bryant | Ravensburger | / | Buch | False
270 | 76450062 | House of night Gezeichnet | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
271 | 76450057 | House of night Entfesselt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
272 | 76450065 | House of night Verloren | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
273 | 76450063 | House of night Ungezähmt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
274 | 76450061 | House of night Geweckt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
275 | 76450066 | House of night Versucht | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
276 | 76450064 | House of night Verbrannt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
277 | 76450058 | House of night Erlöst | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
278 | 76450067 | House of night Bestimmt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
279 | 76450060 | House of night Gejagt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
280 | 76450059 | House of night Erwählt | P.C. Cast und Kristin Cast | Fischer | / | Buch | False
281 | 76450148 | Warrior Cats In die Wildnis | Erin Hunter | Beltz & Geldberg | / | Buch | False
282 | 76450149 | Warrior Cats Feuer und Eis | Erin Hunter | Beltz & Geldberg | / | Buch | False
283 | 76450147 | Warrior Cats Stunde der Finsternis | Erin Hunter | Beltz & Geldberg | / | Buch | False
284 | 76450388 | Das Labyrinth Jagt dich | Rainer Wekwerth | Arena | / | Buch | False
285 | 764500137 | Silber Das erste Buch der Träume | Kerstin Gier | Fischer | / | Buch | False
286 | 764500138 | Silber Das zweite Buch der Träume | Kerstin Gier | Fischer | / | Buch | False
287 | 76450278 | Vom Mondlicht berührt | Amy Plum | Loewe | / | Buch | False
288 | 76450279 | Von den Sternen Geküsst | Amy Plum | Loewe | / | Buch | False
289 | 76450280 | Von der Nacht Verzaubert | Amy Plum | Loewe | / | Buch | False
290 | 76450131 | Seventeen Moons Eine Unheilvolle Liebe | Kami Garcia | cbj | / | Buch | False
291 | 76450129 | Eighteen Moons Eine Grenzenlose Liebe | Kami Garcia | cbj | / | Buch | False
292 | 76450130 | Nineteen Moons Eine Ewige Liebe | Kami Garcia | cbj | / | Buch | False
293 | 76450103 | Wie ich Einmal fast berühmt wurde | Tobias Elsäßer | Sauerländer | / | Buch | False
294 | 76450397 | Die Bücherdiebin | Markus Zusak | cbj | / | Buch | False
295 | 76450738 | Roxy Ein kurzer Rausch, ein langer Schmerz | Neal & Jarrod Shusterman | Sauerländer | / | Buch | False
296 | 76450739 | Count Down Der Letzte Widerstand | Thomas Thiemeyer | Arena | / | Buch | False
297 | 76450015 | Die Unterirdische Sonne | Friedrich Ani | cbt | / | Buch | False
298 | 76450081 | Die Flucht | Ally Condie | Fischer | / | Buch | False
299 | 76450025 | Joshua Schreck Er will die Welt retten | Lee Bacon | Fischer | / | Buch | False
300 | 76450024 | Joshua Schreck Die Allianz des unmöglichen | Lee Bacon | Fischer | / | Buch | False
301 | 76450071 | Die 100 gefährlichsten Dinge der Welt | Anna Claybourne | ars dition | / | Buch | False
302 | 76450070 | Die 100 furchterregendsten Dinge der Welt | Anna Claybourne | ars dition | / | Buch | False
303 | 76450023 | Die gefährlichsten Orte der Welt | Petra bachmann | ars dition | / | Buch | False
304 | 76450740 | we were liars Solange wir lügen | e. lockhart | Ravensburger | / | Buch | False
305 | 76450050 | Bunker Diary | Kevin Brooks | dtv | / | Buch | False
